area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3.0,2.0,131.0
Built-up  Area,Ready To Move,Narayanapura,5 BHK,,2400,5.0,2.0,85.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2.0,1.0,89.0
Super built-up  Area,Ready To Move,Bellari Road,2 BHK,,1050,2.0,1.0,43.5
Super built-up  Area,18-Jun,Electronics City Phase 1,2 BHK,Shitt S,1305,2.0,1.0,67.0
Built-up  Area,Ready To Move,"RMV extension stage 2, rmv extension",4 BHK,,2990,4.0,,324.0
Plot  Area,Ready To Move,Vijayanagar,4 Bedroom,,1500,4.0,1.0,360.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1053,2.0,1.0,53.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1650 - 2538,,,113.19
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1092,2.0,1.0,49.0
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,2610,3.0,0.0,499.0
Plot  Area,Ready To Move,Attibele,4 Bedroom,,3640,4.0,1.0,275.0
Plot  Area,Ready To Move,Palace Guttahalli,6 Bedroom,,1680,4.0,1.0,250.0
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,,2254,3.0,2.0,170.0
Super built-up  Area,19-Sep,Yelahanka New Town,3 BHK,,1420,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1500,2.0,3.0,78.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1710,3.0,2.0,107.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1299,2.0,1.0,89.63
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3.0,3.0,69.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1255,2.0,1.0,53.87
Super built-up  Area,18-Nov,manyata park,2 BHK,,1322,2.0,1.0,61.99
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1375,2.0,2.0,72.0
Super built-up  Area,18-Apr,Silk Board,2 BHK,,1215,2.0,2.0,49.85
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1098,2.0,1.0,43.91
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0
Built-up  Area,Ready To Move,RMV Extension Stage 2,7 Bedroom,,3600,7.0,3.0,160.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Brsic C,2150,3.0,2.0,265.0
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,Bhsic C,1200,2.0,0.0,130.0
Plot  Area,Ready To Move,M C Layout,6 Bedroom,,2400,6.0,,245.0
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,,1000,1.0,0.0,14.0
Plot  Area,Ready To Move,KR Puram,4 Bedroom,,960,4.0,2.0,80.0
Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,5.0,,450.0
Plot  Area,Ready To Move,Margondanahalli,5 Bedroom,,940,4.0,2.0,150.0
Plot  Area,18-Apr,Yelahanka,5 Bedroom,,1330,5.0,0.0,210.0
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,,1600,3.0,1.0,172.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,DNionfl,2725 - 3250,5.0,0.0,191.0
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sanetra,1147,2.0,1.0,54.0
Super built-up  Area,19-May,Kengeri,2 BHK,,1009,2.0,1.0,30.27
Super built-up  Area,Ready To Move,Howthinarayanappa Garden,2 BHK,Vidil D,1022,2.0,2.0,52.0
Plot  Area,Ready To Move,5th Block Hbr Layout,4 Bedroom,,1200,4.0,2.0,205.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464,2.0,2.0,56.0
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,Sryalan,1140,2.0,1.0,33.84
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,,1200,2.0,2.0,75.0
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Muneshwara Nagar,3 BHK,Laderav,1560,2.0,3.0,66.0
Super built-up  Area,Ready To Move,Chikkabanavar,2 BHK,,1067,2.0,1.0,38.0
Plot  Area,Ready To Move,Ittamadu,3 Bedroom,,1800,3.0,0.0,95.0
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1938,3.0,3.0,113.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1109,2.0,1.0,35.22
Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,Srvasi ,1045,2.0,2.0,42.0
Built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2.0,2.0,45.79
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Siourpl,1425,1.0,0.0,54.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Thisea ,1200,2.0,1.0,42.0
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,8 Bedroom,,3500,6.0,2.0,120.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,,7400,5.0,,1850.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1041,2.0,1.0,36.44
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoestSu,2000,3.0,3.0,105.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,,660,1.0,0.0,18.0
Super built-up  Area,Ready To Move,Devanahalli,1 BHK,,775,1.0,0.0,39.0
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1435,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1936,3.0,1.0,131.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,,2770,4.0,3.0,315.0
Plot  Area,Ready To Move,Vasanth nagar,6 Bedroom,,2295,3.0,0.0,650.0
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1490,2.0,1.0,115.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1650,3.0,2.0,110.0
Built-up  Area,Ready To Move,BCC Layout,4 Bedroom,,2700,3.0,2.0,230.0
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,,1709,3.0,1.0,80.0
Plot  Area,Ready To Move,Basavanagara,4 Bedroom,,2000,3.0,2.0,25.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Ste 2al,1343,2.0,2.0,86.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1875,2.0,2.0,150.0
Super built-up  Area,21-Dec,Electronic City,4 BHK,KonteiT,2093,4.0,2.0,134.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Orens G,1165,2.0,1.0,67.0
Super built-up  Area,20-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,78.2
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3.0,3.0,64.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Undraro,1200,2.0,3.0,68.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1300,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1612,3.0,1.0,98.38
Built-up  Area,Ready To Move,Hulimavu,2 BHK,Chtali ,1000,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2.0,1.0,55.0
Super built-up  Area,Ready To Move,5th Block Hbr Layout,5 BHK,,1200,5.0,,205.0
Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,3850,5.0,,316.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Lancyey,1375,2.0,1.0,54.99
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,1060,2.0,0.0,35.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1075,2.0,1.0,53.7
Plot  Area,Ready To Move,Banashankari,4 Bedroom,,675,4.0,0.0,140.0
Plot  Area,Ready To Move,Kaval Byrasandra,4 Bedroom,,750,4.0,3.0,110.0
Super built-up  Area,Ready To Move,Vittal Mallya Road,2 BHK,Pontspa,1030,2.0,2.0,300.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Inden O,1065,2.0,2.0,55.0
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1200,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ascid P,944,2.0,1.0,35.0
Super built-up  Area,18-Aug,Uttarahalli,2 BHK,DSera S,1065,2.0,1.0,42.6
Built-up  Area,Ready To Move,Old Madras Road,3 Bedroom,GRlas V,2300,3.0,2.0,142.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,3004,4.0,2.0,285.0
Super built-up  Area,Ready To Move,Sompura,3 BHK,SSityri,1350,2.0,2.0,47.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,,1464,3.0,2.0,56.0
Super built-up  Area,22-May,Jakkur,3 BHK,,1819.18,3.0,2.0,168.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1266,2.0,2.0,59.0
Built-up  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1600,3.0,0.0,140.0
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1384,3.0,2.0,62.28
Plot  Area,Ready To Move,Mallasandra,4 Bedroom,,600,2.0,2.0,50.0
Plot  Area,Ready To Move,Yeshwanthpur,4 Bedroom,,1200,4.0,1.0,110.0
Super built-up  Area,18-May,Banashankari,2 BHK,Bregae ,1310,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Doddaballapur,4 BHK,,1690,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1785,3.0,2.0,75.0
Super built-up  Area,19-Mar,Gopalapura,4 BHK,Sothadr,3301.8,5.0,2.0,570.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,,235.0
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,,1125,4.0,3.0,180.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,2.0,72.5
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,1859,3.0,2.0,121.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656,3.0,2.0,80.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,AkncyRe,1100,2.0,2.0,50.0
Built-up  Area,18-Apr,Varthur,2 BHK,Uptusol,1155,2.0,1.0,60.0
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,,1250,2.0,1.0,67.0
Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,40.0
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1095,2.0,1.0,39.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1245,2.0,2.0,100.0
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1105,2.0,1.0,40.0
Carpet  Area,Ready To Move,Nagarbhavi,1 BHK,,300,1.0,1.0,20.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Nanorkr,3500,4.0,2.0,330.0
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1107.83,2.0,1.0,41.51
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1157,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,ChodsGr,1485,3.0,2.0,65.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Malmser,1206,2.0,3.0,53.0
Super built-up  Area,Ready To Move,Off Bannergatta Road,3 BHK,,1645,3.0,2.0,87.0
Super built-up  Area,Ready To Move,Thomas Town,2 BHK,TuiteIn,1300,2.0,,60.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,42.0
Plot  Area,Ready To Move,Dasappa Layout,5 Bedroom,,1200,5.0,2.0,85.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1269,2.0,3.0,50.75
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,Lelia M,2700,3.0,1.0,501.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,IBictnd,2955,3.0,,235.0
Built-up  Area,Ready To Move,Nagaraja Garden,2 BHK,,1256,2.0,1.0,62.8
Super built-up  Area,21-Jul,Koramangala,2 BHK,G ceses,1084,2.0,1.0,179.0
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1160,1.0,0.0,163.0
Super built-up  Area,Ready To Move,Jakkur Plantation,2 BHK,Reicace,1368,2.0,3.0,87.0
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Bhensa ,1585,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Chikkakannalli,3 BHK,,1402,2.0,2.0,85.0
Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1.0,0.0,26.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Avlya A,1610,3.0,2.0,74.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,MBncyh ,1197,2.0,1.0,47.88
Plot  Area,Ready To Move,sankeswari,1 Bedroom,,461.82,1.0,1.0,31.7
Built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,Saionl ,1236,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,BaiseBa,1080,2.0,2.0,55.0
Super built-up  Area,18-Jun,Bannerghatta,2 BHK,,1120,2.0,1.0,42.5
Built-up  Area,Ready To Move,Kengeri,5 Bedroom,,2500,4.0,3.0,100.0
Plot  Area,Ready To Move,Chikkabettahalli,5 Bedroom,,1100,4.0,3.0,150.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160,2.0,1.0,33.5
Super built-up  Area,Ready To Move,Banashankari,2 BHK,SuentAp,1100,2.0,1.0,63.0
Plot  Area,Ready To Move,AMS Layout,4 Bedroom,,1200,4.0,1.0,110.0
Built-up  Area,Ready To Move,TC Palaya,3 Bedroom,,2000,3.0,1.0,76.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2215,4.0,2.0,150.0
Plot  Area,Ready To Move,Uttarahalli,6 Bedroom,,3600,6.0,2.0,303.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2.0,1.0,95.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,MamalPr,1490,2.0,2.0,300.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Chikkadunnasandra,2 BHK,Kr 10Ca,1200,2.0,2.0,45.0
Built-up  Area,Ready To Move,Sarjapur,3 BHK,Ahownve,1285,2.0,2.0,68.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2.0,2.0,40.0
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1251,2.0,1.0,50.0
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,,600,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Silk Board,3 BHK,,1435,2.0,1.0,60.0
Plot  Area,Ready To Move,AGS Layout,3 Bedroom,,1936,3.0,0.0,110.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1484,2.0,,65.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,995,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1185,2.0,2.0,67.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,41.0
Super built-up  Area,Ready To Move,HMT Layout,3 BHK,,1385,3.0,3.0,90.0
Plot  Area,Ready To Move,Yelahanka,5 Bedroom,,2500,3.0,1.0,120.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1370,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0
Built-up  Area,18-May,Kasavanhalli,2 BHK,Brersge,1121,2.0,2.0,75.0
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1189,2.0,1.0,45.0
Super built-up  Area,18-May,Brindavan Layout,2 BHK,,1100,2.0,2.0,38.68
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3.0,2.0,77.99
Plot  Area,Ready To Move,Bettadasanapura,5 Bedroom,,1200,5.0,1.0,90.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,57.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1343,2.0,2.0,56.41
Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405,2.0,2.0,77.0
Built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Neestna,941,2.0,2.0,48.0
Super built-up  Area,18-Apr,Kamdhenu Nagar,2 BHK,,1000,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Anantapuram,3 BHK,GKiewke,1495,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2.0,1.0,55.0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,,2200,3.0,0.0,115.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,,2319,3.0,2.0,180.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2.0,2.0,43.0
Built-up  Area,Ready To Move,Haralur Road,4 BHK,Oznzaes,4694,5.0,,375.0
Super built-up  Area,17-Jul,Anandapura,3 BHK,ViensRK,1576,3.0,2.0,59.1
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1150,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,,1230,2.0,2.0,66.25
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1192,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Unentsi,1200,2.0,1.0,42.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,1875,3.0,1.0,167.0
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,,1350,2.0,3.0,180.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1155,2.0,2.0,54.5
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,921,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1155,2.0,1.0,69.18
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2.0,2.0,38.15
Plot  Area,Ready To Move,Wilson Garden,9 Bedroom,,960,5.0,2.0,130.0
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,,1194,2.0,1.0,65.0
Plot  Area,Ready To Move,Doddabommasandra,3 Bedroom,,646,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1565,3.0,2.0,88.5
Built-up  Area,Ready To Move,Arekere,2 BHK,Prdowth,920,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128,2.0,2.0,38.24
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1300,2.0,2.0,52.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1300,2.0,3.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJtumty,1586,3.0,3.0,70.0
Built-up  Area,18-Mar,Hoodi,4 Bedroom,,3385,4.0,1.0,220.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1199,2.0,1.0,85.0
Plot  Area,Ready To Move,Subramanyapura,6 Bedroom,,1200,6.0,2.0,170.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1737,2.0,3.0,95.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,45.6
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,SRldsnt,1430,2.0,0.0,55.0
Super built-up  Area,18-Oct,Rayasandra,4 BHK,,1708,3.0,1.0,76.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,8 Bedroom,,4800,8.0,,225.0
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1100,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Omy 2es,1265,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1230,2.0,2.0,48.0
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1666,3.0,,95.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,,2300,3.0,3.0,290.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,120.0
Built-up  Area,Ready To Move,Hulimavu,4 Bedroom,,1200,4.0,0.0,75.0
Plot  Area,Ready To Move,Vishveshwarya Layout,6 Bedroom,,1400,6.0,3.0,160.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1996,3.0,2.0,135.0
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3.0,1.0,150.0
Built-up  Area,18-Mar,Kundalahalli,2 BHK,Dieldli,1047,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091,2.0,1.0,34.9
Built-up  Area,Ready To Move,Shivaji Nagar,2 Bedroom,,2200,2.0,0.0,110.0
Super built-up  Area,17-May,Whitefield,2 BHK,SVineun,1100,2.0,1.0,37.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1066,2.0,1.0,52.23
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1102,2.0,2.0,53.67
Super built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,950,2.0,1.0,40.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1350,3.0,1.0,72.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1565,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Sarjapur,4 BHK,Prldsum,3508,6.0,2.0,425.0
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,,1036,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1094,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,2.0,1.0,19.0
Plot  Area,Ready To Move,Kothannur,4 Bedroom,,600,4.0,1.0,81.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1150,2.0,0.0,28.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,982,2.0,2.0,37.28
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0
Super built-up  Area,18-Apr,Kengeri,3 BHK,Liwerun,1741,3.0,2.0,80.0
Super built-up  Area,18-May,Banashankari,4 BHK,,2500,4.0,3.0,95.0
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Mazzo P,940,2.0,1.0,56.8
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1552,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,3.0,3.0,93.0
Super built-up  Area,18-Apr,Devanahalli,1 BHK,Sabixtt,658,1.0,1.0,26.91
Super built-up  Area,Ready To Move,Anandapura,3 BHK,ViensRK,1576,3.0,2.0,58.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,1250,2.0,0.0,48.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brsiaen,1450,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,2.0,1.0,87.01
Built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1081,2.0,1.0,52.0
Plot  Area,Ready To Move,KR Puram,8 Bedroom,,1500,7.0,2.0,382.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0
Built-up  Area,Ready To Move,Sanjay nagar,5 BHK,,3300,3.0,,250.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,GMown E,1070,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,1.0,55.0
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,,810,4.0,1.0,50.0
Built-up  Area,Ready To Move,Saptagiri Layout,2 BHK,,1100,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,155.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,Niine J,1200,2.0,0.0,90.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Soodsa ,1051,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1150,2.0,1.0,55.0
Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1680,3.0,1.0,101.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1160,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,6652,6.0,1.0,660.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1160,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,,1560,2.0,2.0,62.38
Super built-up  Area,18-Jun,Bommasandra Industrial Area,3 BHK,,1365,3.0,1.0,52.81
Super built-up  Area,Ready To Move,CQAL Layout,3 BHK,,1200,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,1750,3.0,2.0,130.0
Built-up  Area,Ready To Move,Bellandur,3 BHK,Itnaia ,1398,3.0,1.0,68.0
Plot  Area,Ready To Move,Srirampura,7 Bedroom,,1875,5.0,1.0,192.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2.0,2.0,115.0
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,KHatsFl,960,2.0,2.0,50.0
Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615 - 985,1.0,0.0,39.99
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,SoncyRe,1225,2.0,2.0,52.0
